model,fold,r2
cnn,1,0.16289114952087402
cnn,2,0.10850834846496582
cnn,3,0.048611998558044434
cnn,4,0.17955535650253296
cnn,5,0.1588919758796692
cnn,mean,0.1316917657852173
cnn,std,0.047841184877024004
attention,1,0.15483462810516357
attention,2,0.04808962345123291
attention,3,-0.008066296577453613
attention,4,0.10769021511077881
attention,5,0.12227970361709595
attention,mean,0.08496557474136353
attention,std,0.0579744822767062
mlp,1,0.08717364072799683
mlp,2,0.0643036961555481
mlp,3,-0.0018771886825561523
mlp,4,0.19057977199554443
mlp,5,0.16018909215927124
mlp,mean,0.10007380247116089
mlp,std,0.06876786727809638
