split_idx,test_group_1,test_group_2,optimistic_expectancy,base_expectancy,pessimistic_expectancy,trade_rate,hold_fraction,dir_accuracy,dir_bar_pnl_base,hold_bar_pnl_base,breakeven_rt,n_trades,n_test,n_purged,n_embargoed,wall_seconds
0,0,1,2.315186,1.065186,-1.434814,0.951810,0.419333,0.494310,4.825066,-4.141260,3.555186,180682,189830,500,4600,2.87
1,0,2,2.539668,1.289668,-1.210332,0.908344,0.423665,0.518646,5.615994,-4.595672,3.779668,172431,189830,1500,13800,2.85
2,0,3,2.459947,1.209947,-1.290053,0.910841,0.422186,0.498914,4.974705,-3.942600,3.699947,172905,189830,1500,13800,2.98
3,0,4,0.685191,-0.564809,-3.064809,0.914703,0.413291,0.501124,5.046528,-8.530683,1.925191,173638,189830,1500,13800,2.60
4,0,5,2.535837,1.285837,-1.214163,0.907433,0.427626,0.510497,5.351165,-4.155572,3.775837,172258,189830,1500,13800,3.08
5,0,6,4.149911,2.899911,0.399911,0.892146,0.427956,0.515365,5.509347,-0.588086,5.389911,169356,189830,1500,13800,3.04
6,0,7,3.097171,1.847171,-0.652829,0.885930,0.436245,0.510484,5.350734,-2.680441,4.337171,168176,189830,1500,13800,3.05
7,0,8,2.919478,1.669478,-0.830522,0.892804,0.425316,0.503963,5.138801,-3.018245,4.159478,169481,189830,1500,13800,3.38
8,0,9,3.246628,1.996628,-0.503372,0.909761,0.422577,0.501660,5.063938,-2.194650,4.486628,172700,189830,1000,9200,2.92
9,1,2,3.175534,1.925534,-0.574466,0.918575,0.424471,0.503100,5.110744,-2.393209,4.415534,170120,185200,1000,9200,2.86
10,1,3,1.357776,0.107776,-2.392224,0.922036,0.424933,0.490117,4.688803,-6.091782,2.597776,170761,185200,2000,18400,2.97
11,1,4,3.147894,1.897894,-0.602106,0.923936,0.414334,0.495824,4.874279,-2.309256,4.387894,171113,185200,2000,18400,2.73
12,1,5,2.902475,1.652475,-0.847525,0.918553,0.429930,0.497298,4.922197,-2.683043,4.142475,170116,185200,2000,18400,3.08
13,1,6,3.555149,2.305149,-0.194851,0.901971,0.429681,0.501296,5.052131,-1.340948,4.795149,167045,185200,2000,18400,3.11
14,1,7,3.306091,2.056091,-0.443909,0.900437,0.439221,0.501754,5.066996,-1.788101,4.546091,166761,185200,2000,18400,2.93
15,1,8,3.086096,1.836096,-0.663904,0.902900,0.427355,0.494183,4.820952,-2.163537,4.326096,167217,185200,2000,18400,3.62
16,1,9,3.175336,1.925336,-0.574664,0.920729,0.424281,0.487985,4.619521,-1.730477,4.415336,170519,185200,1500,13800,2.91
17,2,3,0.825988,-0.424012,-2.924012,0.857802,0.428414,0.497924,4.942534,-7.584007,2.065988,158865,185200,1000,9200,3.00
18,2,4,2.002465,0.752465,-1.747535,0.861830,0.417872,0.494942,4.845601,-4.949584,3.242465,159611,185200,2000,18400,2.60
19,2,5,2.321871,1.071871,-1.428129,0.867570,0.434775,0.502571,5.093561,-4.156494,3.561871,160674,185200,2000,18400,2.88
20,2,6,3.850016,2.600016,0.100016,0.840794,0.434647,0.502272,5.083835,-0.630736,5.090016,155715,185200,2000,18400,2.94
21,2,7,1.358828,0.108828,-2.391172,0.825000,0.444702,0.495344,4.858693,-5.822315,2.598828,152790,185200,2000,18400,2.97
22,2,8,3.729536,2.479536,-0.020464,0.834919,0.433178,0.504358,5.151649,-1.016980,4.969536,154627,185200,2000,18400,3.62
23,2,9,4.143125,2.893125,0.393125,0.860443,0.429252,0.495553,4.865458,0.270643,5.383125,159354,185200,1500,13800,3.16
24,3,4,2.205930,0.955930,-1.544070,0.866085,0.418132,0.496137,4.884466,-4.510971,3.445930,160399,185200,1000,9200,2.87
25,3,5,1.554314,0.304314,-2.195686,0.861312,0.435407,0.503148,5.112306,-5.930209,2.794314,159515,185200,2000,18400,2.95
26,3,6,2.826643,1.576643,-0.923357,0.848321,0.435176,0.498000,4.944992,-2.795214,4.066643,157109,185200,2000,18400,3.13
27,3,7,2.641437,1.391437,-1.108563,0.842754,0.445989,0.506551,5.222923,-3.368074,3.881437,156078,185200,2000,18400,3.23
28,3,8,4.103859,2.853859,0.353859,0.845157,0.432282,0.498194,4.951299,0.099276,5.343859,156523,185200,2000,18400,3.71
29,3,9,3.967296,2.717296,0.217296,0.860729,0.429398,0.492502,4.766316,-0.005532,5.207296,159407,185200,1500,13800,3.44
30,4,5,3.236577,1.986577,-0.513423,0.862246,0.422881,0.509901,5.331794,-2.578749,4.476577,159688,185200,1000,9200,2.87
31,4,6,3.747993,2.497993,-0.002007,0.854120,0.423200,0.504187,5.146070,-1.111206,4.987993,158183,185200,2000,18400,2.78
32,4,7,-0.034254,-1.284254,-3.784254,0.851042,0.433448,0.497245,4.920466,-9.394339,1.205746,157613,185200,2000,18400,2.76
33,4,8,3.011307,1.761307,-0.738693,0.850686,0.420782,0.494554,4.832994,-2.466949,4.251307,157547,185200,2000,18400,3.36
34,4,9,2.951974,1.701974,-0.798026,0.866226,0.417260,0.491860,4.745442,-2.548486,4.191974,160425,185200,1500,13800,3.10
35,5,6,3.188998,1.938998,-0.561002,0.847840,0.439683,0.502756,5.099579,-2.088741,4.428998,157020,185200,1000,9200,3.34
36,5,7,2.642758,1.392758,-1.107242,0.845675,0.451382,0.501175,5.048202,-3.050135,3.882758,156619,185200,2000,18400,2.93
37,5,8,4.517986,3.267986,0.767986,0.848008,0.438679,0.510243,5.342904,0.612983,5.757986,157051,185200,2000,18400,3.24
38,5,9,5.347083,4.097083,1.597083,0.858812,0.434128,0.505839,5.199758,2.659785,6.587083,159052,185200,1500,13800,2.93
39,6,7,2.522281,1.272281,-1.227719,0.804055,0.451531,0.504745,5.164197,-3.455172,3.762281,148911,185200,1000,9200,3.06
40,6,8,4.782403,3.532403,1.032403,0.820680,0.440529,0.510231,5.342514,1.233565,6.022403,151990,185200,2000,18400,3.28
41,6,9,4.665933,3.415933,0.915933,0.843294,0.435932,0.504228,5.147423,1.175498,5.905933,156178,185200,1500,13800,3.01
42,7,8,3.784277,2.534277,0.034277,0.789433,0.447241,0.516773,5.555118,-1.199272,5.024277,146203,185200,1000,9200,4.11
43,7,9,4.535323,3.285323,0.785323,0.814141,0.443729,0.505616,5.192506,0.894426,5.775323,150779,185200,1500,13800,3.28
44,8,9,5.606342,4.356342,1.856342,0.838315,0.432312,0.500335,5.020878,3.483709,6.846342,155256,185200,500,4600,3.82
