metric,dsl_none,dsl_$2000,delta,pct_change
trades_per_day,116.7724,106.5041,-10.2683,-8.79%
exp_per_trade,3.0161,4.3197,1.3036,43.22%
daily_pnl_mean,336.7719,455.5866,118.8146,35.28%
daily_pnl_std,2229.4743,1931.5219,-297.9524,-13.36%
dd_worst,33983.5850,17945.2550,-16038.3300,-47.19%
dd_median,8686.8450,6389.3600,-2297.4850,-26.45%
min_acct_all,34000.0000,18000.0000,-16000.0000,-47.06%
min_acct_95,25500.0000,13000.0000,-12500.0000,-49.02%
win_rate,0.5027,0.5093,0.0066,1.32%
calmar,2.4874,6.3723,3.8849,156.19%
sharpe,2.2043,3.4756,1.2712,57.67%
annual_pnl,84529.7573,114352.2330,29822.4757,35.28%
dsl_trigger_rate,0.0000,0.1061,0.1061,0.00%
