split_idx,day,intraday_min_pnl,intraday_max_pnl,final_pnl,n_trades,max_consecutive_losses
0,20220103,-152.3800,647.5550,647.5550,68,11
0,20220104,-1028.8050,21.2600,-896.9000,60,14
0,20220105,-162.7050,168.8600,-141.4450,43,9
0,20220106,-145.4550,2195.4950,1984.5950,147,8
0,20220107,-1316.4350,-2.4500,-512.8500,90,8
0,20220110,-1240.4050,1734.2850,1734.2850,116,15
0,20220111,-118.0150,3368.6700,3368.6700,117,5
0,20220112,-729.6200,31.3300,-135.3800,87,7
0,20220113,-1379.3400,-11.2400,-970.7850,109,14
0,20220114,-1533.6950,166.3000,-355.9600,154,10
0,20220118,-1072.7000,34.4750,-329.3350,129,8
0,20220119,-2474.5500,-97.4900,-1987.0850,104,13
0,20220120,-33.7200,1797.9800,772.7850,91,7
0,20220121,-1494.0550,3324.8800,-1472.7950,283,11
0,20220124,-11047.5000,21.2600,-793.6350,449,10
0,20220125,-595.3450,10191.0000,10191.0000,350,8
0,20220126,-1045.1150,1558.4150,1340.3100,156,11
0,20220127,-8250.7350,-11.2400,-6823.0800,317,17
0,20220128,-46.2100,9883.4000,8461.9550,258,8
0,20220131,21.2600,2225.2950,2225.2950,92,6
0,20220201,-604.1450,1434.0600,1434.0600,156,8
0,20220202,-633.6350,648.1150,648.1150,124,5
0,20220203,-11.2400,1218.5350,528.1250,125,7
0,20220204,-2372.4150,1302.3550,1302.3550,173,8
0,20220207,-475.5100,278.3850,252.2900,104,10
0,20220208,-75.5450,2270.6800,2095.8000,80,4
0,20220209,-11.2400,911.7600,911.7600,51,2
0,20220210,-2026.7550,1183.3100,-1846.6550,147,16
0,20220211,-5762.4350,150.1100,-5741.1750,195,20
0,20220214,-1246.9500,1390.1400,-198.1400,186,14
0,20220215,6.3000,885.7100,871.9800,73,7
0,20220216,-190.5250,725.6700,725.6700,67,6
0,20220217,-1212.2850,21.2600,-1212.2850,84,10
0,20220218,-3369.2950,-11.2400,-1585.2650,161,11
0,20220222,-3620.3350,778.9300,-3412.1800,157,11
0,20220223,-4086.5450,-11.2400,-4065.2850,159,16
0,20220224,-11.2400,10321.9000,10321.9000,315,11
0,20220225,10.0200,8857.4350,8751.8800,188,7
0,20220228,-5.0350,3728.8950,-5.0350,184,12
0,20220301,-5926.4050,-68.7300,-5295.5900,191,14
0,20220302,21.2600,6181.7400,6181.7400,174,7
1,20220103,-164.9650,146.6700,-108.6950,68,6
1,20220104,-477.8750,42.5200,-214.4100,59,7
1,20220105,26.2600,351.6800,351.6800,43,5
1,20220106,-26.7150,1608.9000,1537.0950,147,6
1,20220107,-640.0850,60.0800,-206.6000,90,5
1,20220110,-177.9750,655.4250,401.7850,116,7
1,20220111,14.4350,2202.6450,1802.4200,117,5
1,20220112,-468.3400,209.6200,209.6200,87,10
1,20220113,-687.8950,21.2600,-432.0350,109,11
1,20220114,-967.4350,8.9000,-625.9600,154,6
1,20220118,-1011.9250,138.4650,-680.5850,129,8
1,20220119,60.0400,1572.8750,1346.6650,104,10
1,20220120,-322.4100,556.5150,469.0350,91,6
1,20220121,-81.0300,2626.4250,1813.4550,283,8
1,20220124,-9862.4050,82.5400,-4108.6350,449,11
1,20220125,-142.8450,5426.0000,5426.0000,350,10
1,20220126,-78.5500,1220.7000,682.8100,156,6
1,20220127,-104.9400,2827.5250,2780.6700,317,7
1,20220128,-46.2100,3900.5750,2801.9550,258,8
1,20220131,-304.5300,342.0100,34.0450,92,7
1,20220201,-194.2350,760.3100,760.3100,156,5
1,20220303,-34.2500,1090.3000,1072.8900,164,8
1,20220304,-250.4450,1764.1500,1615.4600,171,7
1,20220307,-1720.2000,-6.1800,-947.5450,183,13
1,20220308,-4988.9850,1422.2050,-4588.8050,307,17
1,20220309,-23.7000,1241.9350,1227.0250,140,6
1,20220310,-1303.2050,458.4150,-848.1550,122,11
1,20220311,-352.4600,1477.6100,1367.6400,139,8
1,20220314,-1637.0250,60.8250,-1564.4550,117,11
1,20220315,-429.0200,474.2450,387.4200,117,11
1,20220316,-1199.2700,1329.9750,1329.9750,185,5
1,20220317,-98.6500,1200.0950,1200.0950,72,3
1,20220318,-130.1150,233.5250,-130.1150,51,11
1,20220321,-197.8450,809.5800,506.7750,115,6
1,20220322,-33.3000,124.0800,-12.0400,46,5
1,20220323,-3.7000,404.0600,-1.1850,69,7
1,20220324,-88.7400,682.2850,344.8450,47,6
1,20220325,-441.0900,152.5200,-2.8800,87,8
1,20220328,-306.3550,126.3300,-231.3250,55,7
1,20220329,47.5100,714.8950,331.2750,65,7
1,20220330,-17.3500,232.9400,221.7000,45,8
2,20220103,-152.3800,527.8400,385.0550,68,11
2,20220104,-840.3150,21.2600,-691.9000,60,13
2,20220105,-37.1300,168.8600,134.8050,43,7
2,20220106,-145.4550,2292.9950,2132.0950,147,8
2,20220107,-1327.6750,-2.4500,-199.0500,95,8
2,20220110,-1240.4050,1751.7850,1751.7850,116,15
2,20220111,-118.0150,3622.4100,3583.6700,117,5
2,20220112,-729.6200,31.3300,-227.8800,87,7
2,20220113,-935.2650,-11.2400,-392.0350,109,11
2,20220114,-1533.6950,166.3000,-388.4600,154,10
2,20220118,-1110.2000,34.4750,-539.3350,129,7
2,20220119,-2474.5500,-97.4900,-1987.0850,104,13
2,20220120,-33.7200,1737.9200,702.7850,91,10
2,20220121,-1241.5550,3324.8800,-1220.2950,283,11
2,20220124,-11015.0000,21.2600,-896.1350,449,10
2,20220125,-595.3450,9998.5000,9998.5000,350,7
2,20220126,-1045.1150,1614.6650,1396.5600,156,11
2,20220127,-8250.7350,-11.2400,-6823.0800,317,17
2,20220128,-46.2100,9883.4000,8461.9550,258,8
2,20220131,21.2600,2174.0450,2174.0450,92,6
2,20220201,-604.1450,1626.5600,1626.5600,156,8
2,20220331,-314.6000,27.5300,-293.3400,41,6
2,20220401,-902.8650,14.4150,-427.4650,66,13
2,20220404,23.7600,342.7100,331.4700,22,2
2,20220405,-1218.7650,63.7900,-1218.7650,61,10
2,20220406,12.5200,2521.1900,2449.9800,123,7
2,20220407,-415.3050,1490.8600,1490.8600,86,8
2,20220408,-11.2400,673.4550,264.3700,62,5
2,20220411,-180.8400,58.8600,-159.5800,42,6
2,20220412,-1732.3050,280.7650,-1689.7450,88,15
2,20220413,-11.2400,867.2650,712.3250,45,5
2,20220414,-671.2050,63.8100,-671.2050,67,8
2,20220418,-1349.8750,21.2600,-1349.8750,75,12
2,20220419,25.0100,362.3650,339.8850,51,5
2,20220420,-646.3350,69.6950,-576.3150,56,8
2,20220421,-5113.7900,-11.2400,-5113.7900,121,15
2,20220422,-2368.4950,21.2600,-2265.9050,97,10
2,20220425,-1200.2150,4212.6250,4167.6650,204,13
2,20220426,-1255.3950,257.5550,-1234.1350,149,10
2,20220427,21.2600,2760.8500,660.1650,204,13
2,20220428,138.7900,6330.6450,6173.1950,132,3
3,20220103,-152.3800,335.2600,143.8050,68,11
3,20220104,-408.1500,21.2600,-408.1500,60,5
3,20220105,26.2600,227.3050,227.3050,43,6
3,20220106,-394.6200,1148.3050,1127.0950,147,8
3,20220107,-510.1650,70.1800,10.9100,91,9
3,20220110,-1174.9250,56.6550,-108.2150,116,10
3,20220111,-118.0150,1323.8750,842.4200,117,7
3,20220112,-264.6100,257.1000,212.1200,87,8
3,20220113,-844.3700,-11.2400,-298.2850,109,8
3,20220114,-1007.2100,206.7750,-1007.2100,154,8
3,20220118,-804.3350,82.2150,-804.3350,129,7
3,20220119,-1776.3550,-97.4900,-244.5850,104,9
3,20220120,-33.7200,1281.5250,1270.2850,91,7
3,20220121,-1069.6150,321.3600,44.7050,283,9
3,20220124,-2701.6700,2166.2600,1311.3650,449,9
3,20220125,-595.3450,4014.3000,1054.7500,350,6
3,20220126,-409.1150,1104.6550,875.3100,156,5
3,20220127,-3948.7250,76.9050,-3896.8300,317,10
3,20220128,-386.9100,2345.6950,2334.4550,258,6
3,20220131,21.2600,1260.2450,1212.7950,92,5
3,20220201,-703.3300,40.8900,-80.9400,156,9
3,20220429,-1130.1300,237.0250,-1019.2550,137,11
3,20220502,-6464.8500,-11.2400,-6464.8500,265,10
3,20220503,-33.7200,1138.6900,548.6450,177,11
3,20220504,-14976.4700,2747.8350,-14976.4700,228,16
3,20220505,-1038.1750,3187.9700,3166.7400,299,10
3,20220506,-11.2400,3537.8250,1329.3200,307,14
3,20220509,-314.0250,1018.4900,1007.2400,224,11
3,20220510,-1635.2450,493.1000,481.8600,311,10
3,20220511,-825.3900,2573.7300,2573.7300,248,11
3,20220512,9.6550,2759.5400,85.8250,270,10
3,20220513,-3009.9900,380.9650,-3009.9900,126,10
3,20220516,-289.0850,2511.5000,2511.5000,150,5
3,20220517,-1985.0900,979.0700,-1985.0900,116,15
3,20220518,-2345.7350,-166.2400,-1771.5650,156,10
3,20220519,20.0100,4866.3000,4843.8200,257,10
3,20220520,-2880.5400,-11.2400,-2859.2800,197,14
3,20220523,130.0100,2173.8600,2131.3900,139,7
3,20220524,-17.4500,3644.0700,2956.8600,186,9
3,20220525,-2091.4650,1329.8800,-2045.7500,175,10
3,20220526,21.2600,547.9500,534.2500,50,6
4,20220103,-96.1800,331.5000,58.8050,68,5
4,20220104,-39.9700,640.9350,578.1000,60,6
4,20220105,26.2600,272.3050,272.3050,43,5
4,20220106,-343.8650,648.3450,648.3450,147,6
4,20220107,-1263.8250,71.3200,-764.0900,91,10
4,20220110,-11.2400,1283.0350,1283.0350,116,10
4,20220111,-1243.4850,319.8550,-1093.8300,117,8
4,20220112,-98.3400,180.7600,64.6200,87,6
4,20220113,-999.5300,21.2600,-779.5350,109,9
4,20220114,81.2600,1014.0400,1014.0400,154,7
4,20220118,-989.4750,178.4650,-736.8350,129,13
4,20220119,56.6650,920.6100,56.6650,104,7
4,20220120,-240.9600,205.2150,-42.2150,91,4
4,20220121,-976.6700,1869.6650,1702.2050,283,11
4,20220124,-873.5400,1721.5350,-422.3850,449,9
4,20220125,21.2600,5120.4600,3903.5000,350,8
4,20220126,-511.6950,1073.6350,-438.4400,156,8
4,20220127,21.2600,2831.6100,198.1700,317,8
4,20220128,-3799.0750,1609.9150,-3423.0450,258,10
4,20220131,-466.3550,291.5350,280.2950,92,5
4,20220201,-898.3650,105.4200,-583.4400,156,15
4,20220527,-36.7650,249.0700,180.3700,37,4
4,20220531,-13.7300,1755.9200,1298.7100,121,6
4,20220601,-208.9350,1122.4300,1050.0300,128,5
4,20220602,141.8850,1393.2700,1393.2700,77,4
4,20220603,-196.0350,212.2150,-32.7400,101,8
4,20220606,-392.9650,1137.7050,1069.0350,91,5
4,20220607,-206.4850,194.2700,-178.0600,69,8
4,20220608,-32.4700,1404.6600,1354.7100,96,9
4,20220609,-1708.9500,10.0200,-1708.9500,105,13
4,20220610,-11.2400,1696.1600,1454.9800,123,4
4,20220613,-648.7150,653.4050,-648.7150,191,13
4,20220614,-22.4800,1458.5100,576.5900,159,11
4,20220615,-1225.0650,5568.5450,4315.6350,251,7
4,20220616,-715.5950,232.2100,-222.2000,155,13
4,20220617,-264.0750,798.0900,716.8700,187,7
4,20220621,-46.3650,335.1600,-15.0650,56,4
4,20220622,-605.1350,20.0300,-333.4850,89,7
4,20220623,-257.2300,656.6050,656.6050,98,7
4,20220624,10.0200,312.2650,312.2650,39,4
4,20220627,73.7600,514.7250,353.3800,88,5
5,20220103,-310.7500,76.5000,-138.6950,68,7
5,20220104,-202.5850,287.6500,-49.4000,60,11
5,20220105,26.2600,346.6700,335.4300,43,5
5,20220106,-674.6000,687.9950,552.0950,147,10
5,20220107,-162.4000,561.1150,479.6600,91,8
5,20220110,-724.2950,1704.2850,1704.2850,116,8
5,20220111,-156.4650,1860.1450,1721.1700,117,8
5,20220112,-12.4600,598.2000,487.1200,87,8
5,20220113,-530.7200,-9.0400,-220.7850,109,7
5,20220114,-2.4450,1016.5400,1016.5400,154,10
5,20220118,-875.2000,50.9150,-271.8350,129,7
5,20220119,-671.0900,802.0800,-280.8350,104,14
5,20220120,-623.4750,551.3700,-602.2150,91,8
5,20220121,-1262.8050,1406.2800,-1241.5450,283,12
5,20220124,-10187.5000,153.5950,-103.6350,449,9
5,20220125,-595.3450,7469.7500,7469.7500,350,9
5,20220126,-217.3100,2389.6650,2171.5600,156,6
5,20220127,-6484.4950,833.1550,-5054.3300,317,17
5,20220128,-46.2100,4505.5250,3808.2050,258,8
