split_idx,day,pnl,n_trades,hold_skips,time_skips,dsl_skips,dsl_triggered,total_bars
0,20220103,647.5550,68,872,302,0,False,4630
0,20220104,-896.9000,60,753,658,0,False,4630
0,20220105,-141.4450,43,81,1334,0,False,4630
0,20220106,1984.5950,147,314,1098,0,False,4630
0,20220107,-512.8500,90,530,700,0,False,4630
0,20220110,1734.2850,116,94,1324,0,False,4630
0,20220111,3368.6700,117,706,618,0,False,4630
0,20220112,-135.3800,87,435,981,0,False,4630
0,20220113,-970.7850,109,208,1225,0,False,4630
0,20220114,-355.9600,154,183,1233,0,False,4630
0,20220118,-329.3350,129,199,1176,0,False,4630
0,20220119,-2118.3800,37,166,0,3885,True,4630
0,20220120,772.7850,91,60,1346,0,False,4630
0,20220121,-1472.7950,283,41,1398,0,False,4630
0,20220124,-2029.8850,74,9,0,4234,True,4630
0,20220125,10191.0000,350,20,1400,0,False,4630
0,20220126,1340.3100,156,9,1430,0,False,4630
0,20220127,-2142.2000,155,61,0,3074,True,4630
0,20220128,8461.9550,258,42,1397,0,False,4630
0,20220131,2225.2950,92,165,1260,0,False,4630
0,20220201,1434.0600,156,386,1046,0,False,4630
0,20220202,648.1150,124,168,1223,0,False,4630
0,20220203,528.1250,125,150,1248,0,False,4630
0,20220204,-2044.4600,54,168,0,3861,True,4630
0,20220207,252.2900,104,197,1147,0,False,4630
0,20220208,2095.8000,80,139,1244,0,False,4630
0,20220209,911.7600,51,761,651,0,False,4630
0,20220210,-2009.2750,135,51,0,1694,True,4630
0,20220211,-2093.1250,125,7,0,2349,True,4630
0,20220214,-198.1400,186,8,1432,0,False,4630
0,20220215,871.9800,73,383,1028,0,False,4630
0,20220216,725.6700,67,230,1210,0,False,4630
0,20220217,-1212.2850,84,233,1179,0,False,4630
0,20220218,-2040.7000,55,32,0,3894,True,4630
0,20220222,-2010.1800,107,19,0,2966,True,4630
0,20220223,-2029.1750,20,117,0,4269,True,4630
0,20220224,10321.9000,315,64,1365,0,False,4630
0,20220225,8751.8800,188,51,1388,0,False,4630
0,20220228,-5.0350,184,32,1405,0,False,4630
0,20220301,-2074.5100,49,44,0,4004,True,4630
0,20220302,6181.7400,174,80,1318,0,False,4630
1,20220103,-108.6950,68,745,429,0,False,4630
1,20220104,-214.4100,59,570,856,0,False,4630
1,20220105,351.6800,43,58,1360,0,False,4630
1,20220106,1537.0950,147,94,1318,0,False,4630
1,20220107,-206.6000,90,257,978,0,False,4630
1,20220110,401.7850,116,54,1364,0,False,4630
1,20220111,1802.4200,117,491,833,0,False,4630
1,20220112,209.6200,87,181,1235,0,False,4630
1,20220113,-432.0350,109,62,1371,0,False,4630
1,20220114,-625.9600,154,50,1366,0,False,4630
1,20220118,-680.5850,129,59,1316,0,False,4630
1,20220119,1346.6650,104,74,1327,0,False,4630
1,20220120,469.0350,91,47,1359,0,False,4630
1,20220121,1813.4550,283,22,1417,0,False,4630
1,20220124,-2047.8550,152,20,0,3719,True,4630
1,20220125,5426.0000,350,20,1400,0,False,4630
1,20220126,682.8100,156,19,1420,0,False,4630
1,20220127,2780.6700,317,38,1392,0,False,4630
1,20220128,2801.9550,258,23,1416,0,False,4630
1,20220131,34.0450,92,113,1312,0,False,4630
1,20220201,760.3100,156,86,1346,0,False,4630
1,20220303,1072.8900,164,52,1361,0,False,4630
1,20220304,1615.4600,171,20,1408,0,False,4630
1,20220307,-947.5450,183,30,1402,0,False,4630
1,20220308,-2031.3450,178,19,0,2983,True,4630
1,20220309,1227.0250,140,87,1330,0,False,4630
1,20220310,-848.1550,122,62,1363,0,False,4630
1,20220311,1367.6400,139,256,1184,0,False,4630
1,20220314,-1564.4550,117,666,752,0,False,4630
1,20220315,387.4200,117,681,605,0,False,4630
1,20220316,1329.9750,185,641,800,0,False,4630
1,20220317,1200.0950,72,620,781,0,False,4630
1,20220318,-130.1150,51,714,724,0,False,4630
1,20220321,506.7750,115,712,601,0,False,4630
1,20220322,-12.0400,46,724,689,0,False,4630
1,20220323,-1.1850,69,717,728,0,False,4630
1,20220324,344.8450,47,724,694,0,False,4630
1,20220325,-2.8800,87,711,720,0,False,4630
1,20220328,-231.3250,55,706,715,0,False,4630
1,20220329,331.2750,65,762,659,0,False,4630
1,20220330,221.7000,45,765,682,0,False,4630
2,20220103,385.0550,68,889,473,0,False,4630
2,20220104,-691.9000,60,585,826,0,False,4630
2,20220105,134.8050,43,33,1382,0,False,4630
2,20220106,2132.0950,147,135,1277,0,False,4630
2,20220107,-199.0500,95,234,995,0,False,4630
2,20220110,1751.7850,116,51,1367,0,False,4630
2,20220111,3583.6700,117,483,841,0,False,4630
2,20220112,-227.8800,87,198,1218,0,False,4630
2,20220113,-392.0350,109,52,1381,0,False,4630
2,20220114,-388.4600,154,49,1367,0,False,4630
2,20220118,-539.3350,129,65,1310,0,False,4630
2,20220119,-2118.3800,37,81,0,3970,True,4630
2,20220120,702.7850,91,20,1386,0,False,4630
2,20220121,-1220.2950,283,20,1419,0,False,4630
2,20220124,-2028.6250,75,17,0,4221,True,4630
2,20220125,9998.5000,350,19,1401,0,False,4630
2,20220126,1396.5600,156,14,1425,0,False,4630
2,20220127,-2142.2000,155,37,0,3098,True,4630
2,20220128,8461.9550,258,20,1419,0,False,4630
2,20220131,2174.0450,92,112,1313,0,False,4630
2,20220201,1626.5600,156,124,1308,0,False,4630
2,20220331,-293.3400,41,597,832,0,False,4630
2,20220401,-427.4650,66,699,714,0,False,4630
2,20220404,331.4700,22,772,594,0,False,4630
2,20220405,-1218.7650,61,703,698,0,False,4630
2,20220406,2449.9800,123,682,755,0,False,4630
2,20220407,1490.8600,86,708,718,0,False,4630
2,20220408,264.3700,62,678,760,0,False,4630
2,20220411,-159.5800,42,677,739,0,False,4630
2,20220412,-1689.7450,88,703,725,0,False,4630
2,20220413,712.3250,45,706,722,0,False,4630
2,20220414,-671.2050,67,718,705,0,False,4630
2,20220418,-1349.8750,75,612,803,0,False,4630
2,20220419,339.8850,51,597,840,0,False,4630
2,20220420,-576.3150,56,568,871,0,False,4630
2,20220421,-2098.3800,37,583,0,2979,True,4630
2,20220422,-2029.3200,68,541,0,1855,True,4630
2,20220425,4167.6650,204,674,762,0,False,4630
2,20220426,-1234.1350,149,388,1052,0,False,4630
2,20220427,660.1650,204,397,1004,0,False,4630
2,20220428,6173.1950,132,176,1262,0,False,4630
3,20220103,143.8050,68,767,407,0,False,4630
3,20220104,-408.1500,60,565,846,0,False,4630
3,20220105,227.3050,43,47,1368,0,False,4630
3,20220106,1127.0950,147,113,1299,0,False,4630
3,20220107,10.9100,91,245,980,0,False,4630
3,20220110,-108.2150,116,56,1362,0,False,4630
3,20220111,842.4200,117,469,855,0,False,4630
3,20220112,212.1200,87,192,1224,0,False,4630
3,20220113,-298.2850,109,52,1381,0,False,4630
3,20220114,-1007.2100,154,59,1357,0,False,4630
3,20220118,-804.3350,129,75,1300,0,False,4630
3,20220119,-244.5850,104,86,1315,0,False,4630
3,20220120,1270.2850,91,37,1369,0,False,4630
3,20220121,44.7050,283,23,1416,0,False,4630
3,20220124,-2191.7800,197,20,0,3358,True,4630
3,20220125,1054.7500,350,22,1398,0,False,4630
3,20220126,875.3100,156,17,1422,0,False,4630
3,20220127,-2073.2900,171,36,0,2940,True,4630
3,20220128,2334.4550,258,26,1413,0,False,4630
3,20220131,1212.7950,92,101,1324,0,False,4630
3,20220201,-80.9400,156,98,1334,0,False,4630
3,20220429,-1019.2550,137,553,885,0,False,4630
3,20220502,-2124.3900,186,597,0,2067,True,4630
3,20220503,548.6450,177,557,858,0,False,4630
3,20220504,-2407.3900,136,699,0,1167,True,4630
3,20220505,3166.7400,299,533,891,0,False,4630
3,20220506,1329.3200,307,605,833,0,False,4630
3,20220509,1007.2400,224,561,875,0,False,4630
3,20220510,481.8600,311,591,849,0,False,4630
3,20220511,2573.7300,248,595,841,0,False,4630
3,20220512,85.8250,270,552,883,0,False,4630
3,20220513,-2033.3850,99,675,0,1204,True,4630
3,20220516,2511.5000,150,690,650,0,False,4630
3,20220517,-1985.0900,116,715,702,0,False,4630
3,20220518,-2000.2600,99,547,0,1894,True,4630
3,20220519,4843.8200,257,622,816,0,False,4630
3,20220520,-2086.8800,187,564,0,1044,True,4630
3,20220523,2131.3900,139,707,719,0,False,4630
3,20220524,2956.8600,186,651,776,0,False,4630
3,20220525,-2014.6100,164,501,0,1123,True,4630
3,20220526,534.2500,50,687,734,0,False,4630
4,20220103,58.8050,68,831,343,0,False,4630
4,20220104,578.1000,60,598,813,0,False,4630
4,20220105,272.3050,43,32,1383,0,False,4630
4,20220106,648.3450,147,122,1290,0,False,4630
4,20220107,-764.0900,91,230,995,0,False,4630
4,20220110,1283.0350,116,79,1339,0,False,4630
4,20220111,-1093.8300,117,458,866,0,False,4630
4,20220112,64.6200,87,183,1233,0,False,4630
4,20220113,-779.5350,109,72,1361,0,False,4630
4,20220114,1014.0400,154,49,1367,0,False,4630
4,20220118,-736.8350,129,76,1299,0,False,4630
4,20220119,56.6650,104,95,1306,0,False,4630
4,20220120,-42.2150,91,20,1386,0,False,4630
4,20220121,1702.2050,283,20,1419,0,False,4630
4,20220124,-422.3850,449,19,1419,0,False,4630
4,20220125,3903.5000,350,20,1400,0,False,4630
4,20220126,-438.4400,156,15,1424,0,False,4630
4,20220127,198.1700,317,38,1392,0,False,4630
4,20220128,-2071.3600,114,20,0,3726,True,4630
4,20220131,280.2950,92,110,1315,0,False,4630
4,20220201,-583.4400,156,106,1326,0,False,4630
4,20220527,180.3700,37,701,723,0,False,4630
4,20220531,1298.7100,121,586,830,0,False,4630
4,20220601,1050.0300,128,668,733,0,False,4630
4,20220602,1393.2700,77,728,712,0,False,4630
4,20220603,-32.7400,101,691,744,0,False,4630
4,20220606,1069.0350,91,696,741,0,False,4630
4,20220607,-178.0600,69,712,718,0,False,4630
4,20220608,1354.7100,96,719,714,0,False,4630
4,20220609,-1708.9500,105,704,725,0,False,4630
4,20220610,1454.9800,123,639,776,0,False,4630
4,20220613,-648.7150,191,523,894,0,False,4630
4,20220614,576.5900,159,657,779,0,False,4630
4,20220615,4315.6350,251,638,801,0,False,4630
4,20220616,-222.2000,155,365,1073,0,False,4630
4,20220617,716.8700,187,630,808,0,False,4630
4,20220621,-15.0650,56,712,714,0,False,4630
4,20220622,-333.4850,89,693,735,0,False,4630
4,20220623,656.6050,98,710,716,0,False,4630
4,20220624,312.2650,39,848,558,0,False,4630
4,20220627,353.3800,88,688,735,0,False,4630
5,20220103,-138.6950,68,785,389,0,False,4630
5,20220104,-49.4000,60,612,799,0,False,4630
5,20220105,335.4300,43,37,1380,0,False,4630
5,20220106,552.0950,147,150,1262,0,False,4630
5,20220107,479.6600,91,278,947,0,False,4630
5,20220110,1704.2850,116,79,1339,0,False,4630
5,20220111,1721.1700,117,585,739,0,False,4630
5,20220112,487.1200,87,209,1207,0,False,4630
5,20220113,-220.7850,109,85,1348,0,False,4630
5,20220114,1016.5400,154,48,1368,0,False,4630
5,20220118,-271.8350,129,82,1293,0,False,4630
5,20220119,-280.8350,104,92,1309,0,False,4630
5,20220120,-602.2150,91,25,1381,0,False,4630
5,20220121,-1241.5450,283,22,1417,0,False,4630
5,20220124,-2049.3150,131,19,0,3876,True,4630
5,20220125,7469.7500,350,20,1400,0,False,4630
5,20220126,2171.5600,156,14,1425,0,False,4630
5,20220127,-2190.8000,170,38,0,2940,True,4630
5,20220128,3808.2050,258,19,1420,0,False,4630
5,20220131,1054.0450,92,129,1296,0,False,4630
5,20220201,390.3100,156,106,1326,0,False,4630
5,20220628,-2037.8800,87,693,0,1670,True,4630
5,20220629,-203.3150,106,729,695,0,False,4630
5,20220630,-399.3850,124,576,821,0,False,4630
