split_idx,test_groups,max_drawdown,max_consecutive_losses,drawdown_duration_days,n_trades,expectancy,trades_per_day_mean,win_rate,dsl_trigger_rate
0,"(0, 1)",11189.78,17,9,5072,7.2214,123.71,0.5213,0.2439
1,"(0, 2)",4083.35,13,8,5246,3.8005,127.95,0.5071,0.0488
2,"(0, 3)",9131.51,16,12,4457,6.1121,108.71,0.5091,0.1220
3,"(0, 4)",6731.78,15,11,6721,1.2854,163.93,0.5031,0.1951
4,"(0, 5)",5322.87,15,8,5494,2.6795,134.00,0.5082,0.0244
5,"(0, 6)",5571.33,14,5,4492,4.9829,109.56,0.5198,0.0732
6,"(0, 7)",9828.68,18,23,3839,0.6067,93.63,0.4941,0.1220
7,"(0, 8)",6676.03,13,15,4568,1.1378,111.41,0.5120,0.1463
8,"(0, 9)",5359.62,21,6,5074,2.5817,123.76,0.5073,0.0732
9,"(1, 2)",9674.96,16,9,4243,4.8349,106.08,0.5079,0.2250
10,"(1, 3)",10788.42,16,12,3974,5.5702,99.35,0.5156,0.2250
11,"(1, 4)",12607.23,19,12,4908,9.0947,122.70,0.5212,0.4000
12,"(1, 5)",9404.94,16,9,4636,5.5947,115.90,0.5129,0.1500
13,"(1, 6)",11128.51,21,9,3821,7.0772,95.53,0.5323,0.2000
14,"(1, 7)",10545.40,15,9,3452,5.8591,86.30,0.5220,0.1750
15,"(1, 8)",6136.19,15,11,4622,2.4113,115.55,0.5056,0.1500
16,"(1, 9)",7888.33,17,9,4690,5.1842,117.25,0.5147,0.1500
17,"(2, 3)",8420.11,15,12,3406,2.4166,85.15,0.4974,0.1250
18,"(2, 4)",7498.25,21,17,5811,3.4734,145.28,0.5101,0.2250
19,"(2, 5)",4077.81,14,8,4448,3.5003,111.20,0.4993,0.0250
20,"(2, 6)",3463.54,13,15,3634,2.0603,90.85,0.4912,0.0250
21,"(2, 7)",10286.48,28,32,3214,1.8901,80.35,0.4969,0.1000
22,"(2, 8)",3875.60,13,3,4058,4.4876,101.45,0.5249,0.0500
23,"(2, 9)",4070.99,12,6,4357,5.3079,108.92,0.5042,0.0250
24,"(3, 4)",12590.89,19,12,4325,7.7375,108.12,0.5050,0.2750
25,"(3, 5)",6389.36,15,12,3992,4.6906,99.80,0.5033,0.0250
26,"(3, 6)",8122.33,21,11,3210,5.0947,80.25,0.5202,0.0750
27,"(3, 7)",3214.62,17,10,2939,4.5885,73.47,0.5036,0.0000
28,"(3, 8)",5783.16,15,9,3599,3.5895,89.97,0.5115,0.0500
29,"(3, 9)",4067.36,16,9,3974,4.5854,99.35,0.5043,0.0000
30,"(4, 5)",8018.97,16,11,5855,3.4133,146.38,0.5003,0.1250
31,"(4, 6)",7410.96,15,10,5322,6.1409,133.05,0.5047,0.0750
32,"(4, 7)",17945.26,20,30,4417,1.3118,110.42,0.5055,0.2500
33,"(4, 8)",8272.05,18,16,5615,2.7774,140.38,0.5017,0.1000
34,"(4, 9)",5751.82,20,8,5836,2.8690,145.90,0.5014,0.1000
35,"(5, 6)",2603.46,15,10,3860,4.2080,96.50,0.5021,0.0000
36,"(5, 7)",2649.88,16,8,3317,5.9176,82.92,0.5062,0.0250
37,"(5, 8)",5646.04,16,7,4138,3.9503,103.45,0.5099,0.0500
38,"(5, 9)",3423.08,16,4,4434,6.6004,110.85,0.5138,0.0250
39,"(6, 7)",2706.47,16,9,2656,3.5901,66.40,0.5045,0.0250
40,"(6, 8)",5794.97,15,4,3458,5.2236,86.45,0.5249,0.0250
41,"(6, 9)",3097.88,14,4,3764,5.2119,94.10,0.5098,0.0500
42,"(7, 8)",6506.15,15,19,2893,1.9487,72.33,0.5092,0.0750
43,"(7, 9)",3094.80,16,8,3169,6.7923,79.22,0.5194,0.0500
44,"(8, 9)",5804.77,15,7,3794,4.9757,94.85,0.5206,0.0750
