target,stop,oracle_wr,oracle_exp_raw,net_exp,breakeven_wr,oracle_margin,trade_count,profit_factor,geometry_score,days_processed
5,2,0.7012,1.9931,0.7431,0.7131,-0.0120,12933,5.0238,0.7431,19
5,3,0.7869,2.7284,1.4784,0.7490,0.0379,11560,5.8635,1.3978,19
5,4,0.8417,3.2569,2.0069,0.7769,0.0648,10791,6.7447,1.8332,19
5,5,,,,,,,,,
5,6,,,,,,,,,
5,7,,,,,,,,,
5,8,,,,,,,,,
5,9,,,,,,,,,
5,10,,,,,,,,,
6,2,0.6416,2.0784,0.8284,0.6240,0.0176,11110,4.3331,0.7678,19
6,3,0.7272,2.8526,1.6026,0.6658,0.0614,9776,4.7994,1.3934,19
6,4,0.7839,3.4111,2.1611,0.6992,0.0847,8990,5.2566,1.8018,19
6,5,0.8182,3.7391,2.4891,0.7265,0.0916,8514,5.4894,2.0196,19
6,6,,,,,,,,,
6,7,,,,,,,,,
6,8,,,,,,,,,
6,9,,,,,,,,,
6,10,,,,,,,,,
7,2,0.5899,2.1478,0.8978,0.5547,0.0352,9690,3.9129,0.7772,19
7,3,0.6707,2.8955,1.6455,0.5992,0.0715,8445,4.1502,1.3297,19
7,4,0.7295,3.4958,2.2458,0.6356,0.0939,7656,4.4210,1.7279,19
7,5,0.7662,3.8600,2.6100,0.6660,0.1002,7197,4.5613,1.9470,19
7,6,0.7976,4.1631,2.9131,0.6917,0.1059,6808,4.6430,2.1136,19
7,7,,,,,,,,,
7,8,,,,,,,,,
7,9,,,,,,,,,
7,10,,,,,,,,,
8,2,0.5421,2.1449,0.8949,0.4992,0.0429,8594,3.5720,0.7295,19
8,3,0.6224,2.9199,1.6699,0.5447,0.0777,7415,3.7305,1.2644,19
8,4,0.6866,3.6396,2.3896,0.5827,0.1039,6685,3.9956,1.7180,19
8,5,0.7186,3.8991,2.6491,0.6148,0.1038,6254,3.9398,1.8422,19
8,6,0.7486,4.1884,2.9384,0.6423,0.1063,5856,3.9379,1.9773,19
8,7,0.7757,4.4653,3.2153,0.6661,0.1096,5605,4.0130,2.1167,19
8,8,,,,,,,,,
8,9,,,,,,,,,
8,10,,,,,,,,,
9,2,0.5020,2.1205,0.8705,0.4538,0.0482,7727,3.3236,0.6729,19
9,3,0.5893,3.0817,1.8317,0.4993,0.0899,6593,3.5563,1.3078,19
9,4,0.6479,3.7178,2.4678,0.5378,0.1101,5922,3.6713,1.6699,19
9,5,0.6842,4.0725,2.8225,0.5709,0.1134,5498,3.6568,1.8403,19
9,6,0.7113,4.2657,3.0157,0.5995,0.1118,5109,3.5513,1.8954,19
9,7,0.7393,4.5578,3.3078,0.6245,0.1148,4879,3.5997,2.0317,19
9,8,0.7579,4.6468,3.3968,0.6466,0.1113,4663,3.5038,2.0396,19
9,9,,,,,,,,,
9,10,,,,,,,,,
10,2,0.4725,2.1933,0.9433,0.4160,0.0565,7025,3.2161,0.6952,19
10,3,0.5506,3.0435,1.7935,0.4609,0.0896,5954,3.3060,1.2169,19
10,4,0.6143,3.7678,2.5178,0.4994,0.1149,5284,3.4093,1.6094,19
10,5,0.6429,3.9973,2.7473,0.5328,0.1101,4873,3.2969,1.6864,19
10,6,0.6773,4.3782,3.1282,0.5620,0.1153,4509,3.3173,1.8471,19
10,7,0.7029,4.6420,3.3920,0.5878,0.1151,4278,3.3047,1.9509,19
10,8,0.7229,4.7318,3.4818,0.6107,0.1122,4078,3.2154,1.9552,19
10,9,0.7345,4.7239,3.4739,0.6312,0.1034,3910,3.0849,1.9101,19
10,10,,,,,,,,,
11,2,0.4495,2.2503,1.0003,0.3840,0.0655,6441,3.0898,0.7060,19
