geometry,target,stop,band,n_bars,class_neg1,class_0,class_pos1,directional_rate
10_5,10,5,A_opening_range,77810,0.3551,0.2883,0.3566,0.7117
10_5,10,5,B_mid_session,902340,0.3490,0.2995,0.3515,0.7005
10_5,10,5,C_closing,90000,0.2858,0.3850,0.3292,0.6150
15_3,15,3,A_opening_range,77810,0.2089,0.5848,0.2063,0.4152
15_3,15,3,B_mid_session,902340,0.1974,0.6032,0.1995,0.3968
15_3,15,3,C_closing,90000,0.1489,0.6781,0.1729,0.3219
19_7,19,7,A_opening_range,77810,0.2882,0.4225,0.2893,0.5775
19_7,19,7,B_mid_session,902340,0.2811,0.4373,0.2817,0.5627
19_7,19,7,C_closing,90000,0.1800,0.6179,0.2021,0.3821
20_3,20,3,A_opening_range,77810,0.1683,0.6658,0.1659,0.3342
20_3,20,3,B_mid_session,902340,0.1587,0.6825,0.1588,0.3175
20_3,20,3,C_closing,90000,0.1052,0.7723,0.1225,0.2277
