metric,unfiltered_390,filtered_270,delta,delta_pct
trades_per_day,162.2142,116.7724,-45.4418,-28.01
expectancy_per_trade,2.5008,3.0161,0.5153,20.60
daily_pnl,412.7683,336.7719,-75.9964,-18.41
dd_worst,47893.7300,33983.5850,-13910.1450,-29.04
dd_median,12916.7050,8686.8450,-4229.8600,-32.75
min_acct_all,48000,34000,-14000,-29.17
min_acct_95,26500,25500,-1000,-3.77
win_rate,0.4993,0.5027,0.0034,0.68
timeout_fraction,0.0040,0.0022,-0.0018,-46.13
barrier_hit_fraction,0.9960,0.9978,0.0018,0.19
hold_skip_pct,0.6609,0.3439,-0.3169,-47.96
time_skip_pct,0.0000,0.5801,0.5801,0.00
avg_bars_held,28.0163,29.0481,1.0318,3.68
calmar,2.1632,2.4874,0.3241,14.98
sharpe,14.5605,20.1891,5.6286,38.66
annual_pnl,103604.8448,84529.7573,-19075.0875,-18.41
