account_size,survival_count,survival_rate
500,0,0.0000
1000,0,0.0000
1500,0,0.0000
2000,0,0.0000
2500,0,0.0000
3000,1,0.0222
3500,4,0.0889
4000,5,0.1111
4500,9,0.2000
5000,10,0.2222
5500,11,0.2444
6000,12,0.2667
6500,13,0.2889
7000,15,0.3333
7500,15,0.3333
8000,16,0.3556
8500,18,0.4000
9000,23,0.5111
9500,26,0.5778
10000,27,0.6000
10500,27,0.6000
11000,29,0.6444
11500,29,0.6444
12000,29,0.6444
12500,29,0.6444
13000,29,0.6444
13500,31,0.6889
14000,31,0.6889
14500,32,0.7111
15000,33,0.7333
15500,34,0.7556
16000,35,0.7778
16500,36,0.8000
17000,36,0.8000
17500,38,0.8444
18000,41,0.9111
18500,41,0.9111
19000,42,0.9333
19500,42,0.9333
20000,42,0.9333
20500,42,0.9333
21000,42,0.9333
21500,42,0.9333
22000,42,0.9333
22500,42,0.9333
23000,42,0.9333
23500,42,0.9333
24000,42,0.9333
24500,42,0.9333
25000,42,0.9333
25500,43,0.9556
26000,43,0.9556
26500,43,0.9556
27000,43,0.9556
27500,43,0.9556
28000,43,0.9556
28500,43,0.9556
29000,43,0.9556
29500,43,0.9556
30000,43,0.9556
30500,43,0.9556
31000,43,0.9556
31500,43,0.9556
32000,43,0.9556
32500,43,0.9556
33000,44,0.9778
33500,44,0.9778
34000,45,1.0000
34500,45,1.0000
35000,45,1.0000
35500,45,1.0000
36000,45,1.0000
36500,45,1.0000
37000,45,1.0000
37500,45,1.0000
38000,45,1.0000
38500,45,1.0000
39000,45,1.0000
39500,45,1.0000
40000,45,1.0000
40500,45,1.0000
41000,45,1.0000
41500,45,1.0000
42000,45,1.0000
42500,45,1.0000
43000,45,1.0000
43500,45,1.0000
44000,45,1.0000
44500,45,1.0000
45000,45,1.0000
45500,45,1.0000
46000,45,1.0000
46500,45,1.0000
47000,45,1.0000
47500,45,1.0000
48000,45,1.0000
48500,45,1.0000
49000,45,1.0000
49500,45,1.0000
50000,45,1.0000
