split_idx,day,pnl,n_trades,hold_skips,time_skips,total_bars
0,20220103,647.5550,68,872,302,4630
0,20220104,-896.9000,60,753,658,4630
0,20220105,-141.4450,43,81,1334,4630
0,20220106,1984.5950,147,314,1098,4630
0,20220107,-512.8500,90,530,700,4630
0,20220110,1734.2850,116,94,1324,4630
0,20220111,3368.6700,117,706,618,4630
0,20220112,-135.3800,87,435,981,4630
0,20220113,-970.7850,109,208,1225,4630
0,20220114,-355.9600,154,183,1233,4630
0,20220118,-329.3350,129,199,1176,4630
0,20220119,-1987.0850,104,166,1235,4630
0,20220120,772.7850,91,60,1346,4630
0,20220121,-1472.7950,283,41,1398,4630
0,20220124,-793.6350,449,9,1429,4630
0,20220125,10191.0000,350,20,1400,4630
0,20220126,1340.3100,156,9,1430,4630
0,20220127,-6823.0800,317,61,1369,4630
0,20220128,8461.9550,258,42,1397,4630
0,20220131,2225.2950,92,165,1260,4630
0,20220201,1434.0600,156,386,1046,4630
0,20220202,648.1150,124,168,1223,4630
0,20220203,528.1250,125,150,1248,4630
0,20220204,1302.3550,173,168,1272,4630
0,20220207,252.2900,104,197,1147,4630
0,20220208,2095.8000,80,139,1244,4630
0,20220209,911.7600,51,761,651,4630
0,20220210,-1846.6550,147,51,1384,4630
0,20220211,-5741.1750,195,7,1421,4630
0,20220214,-198.1400,186,8,1432,4630
0,20220215,871.9800,73,383,1028,4630
0,20220216,725.6700,67,230,1210,4630
0,20220217,-1212.2850,84,233,1179,4630
0,20220218,-1585.2650,161,32,1386,4630
0,20220222,-3412.1800,157,19,1418,4630
0,20220223,-4065.2850,159,117,1315,4630
0,20220224,10321.9000,315,64,1365,4630
0,20220225,8751.8800,188,51,1388,4630
0,20220228,-5.0350,184,32,1405,4630
0,20220301,-5295.5900,191,44,1391,4630
0,20220302,6181.7400,174,80,1318,4630
1,20220103,-108.6950,68,745,429,4630
1,20220104,-214.4100,59,570,856,4630
1,20220105,351.6800,43,58,1360,4630
1,20220106,1537.0950,147,94,1318,4630
1,20220107,-206.6000,90,257,978,4630
1,20220110,401.7850,116,54,1364,4630
1,20220111,1802.4200,117,491,833,4630
1,20220112,209.6200,87,181,1235,4630
1,20220113,-432.0350,109,62,1371,4630
1,20220114,-625.9600,154,50,1366,4630
1,20220118,-680.5850,129,59,1316,4630
1,20220119,1346.6650,104,74,1327,4630
1,20220120,469.0350,91,47,1359,4630
1,20220121,1813.4550,283,22,1417,4630
1,20220124,-4108.6350,449,20,1418,4630
1,20220125,5426.0000,350,20,1400,4630
1,20220126,682.8100,156,19,1420,4630
1,20220127,2780.6700,317,38,1392,4630
1,20220128,2801.9550,258,23,1416,4630
1,20220131,34.0450,92,113,1312,4630
1,20220201,760.3100,156,86,1346,4630
1,20220303,1072.8900,164,52,1361,4630
1,20220304,1615.4600,171,20,1408,4630
1,20220307,-947.5450,183,30,1402,4630
1,20220308,-4588.8050,307,19,1411,4630
1,20220309,1227.0250,140,87,1330,4630
1,20220310,-848.1550,122,62,1363,4630
1,20220311,1367.6400,139,256,1184,4630
1,20220314,-1564.4550,117,666,752,4630
1,20220315,387.4200,117,681,605,4630
1,20220316,1329.9750,185,641,800,4630
1,20220317,1200.0950,72,620,781,4630
1,20220318,-130.1150,51,714,724,4630
1,20220321,506.7750,115,712,601,4630
1,20220322,-12.0400,46,724,689,4630
1,20220323,-1.1850,69,717,728,4630
1,20220324,344.8450,47,724,694,4630
1,20220325,-2.8800,87,711,720,4630
1,20220328,-231.3250,55,706,715,4630
1,20220329,331.2750,65,762,659,4630
1,20220330,221.7000,45,765,682,4630
2,20220103,385.0550,68,889,473,4630
2,20220104,-691.9000,60,585,826,4630
2,20220105,134.8050,43,33,1382,4630
2,20220106,2132.0950,147,135,1277,4630
2,20220107,-199.0500,95,234,995,4630
2,20220110,1751.7850,116,51,1367,4630
