account_size,survival_count,survival_rate
500,0,0.0000
600,0,0.0000
700,0,0.0000
800,0,0.0000
900,0,0.0000
1000,0,0.0000
1100,0,0.0000
1200,0,0.0000
1300,0,0.0000
1400,0,0.0000
1500,0,0.0000
1600,0,0.0000
1700,0,0.0000
1800,0,0.0000
1900,0,0.0000
2000,0,0.0000
2100,0,0.0000
2200,0,0.0000
2300,0,0.0000
2400,0,0.0000
2500,0,0.0000
2600,0,0.0000
2700,0,0.0000
2800,0,0.0000
2900,0,0.0000
3000,0,0.0000
3100,0,0.0000
3200,0,0.0000
3300,0,0.0000
3400,1,0.0222
3500,2,0.0444
3600,2,0.0444
3700,2,0.0444
3800,2,0.0444
3900,2,0.0444
4000,2,0.0444
4100,2,0.0444
4200,2,0.0444
4300,2,0.0444
4400,3,0.0667
4500,3,0.0667
4600,3,0.0667
4700,4,0.0889
4800,5,0.1111
4900,6,0.1333
5000,6,0.1333
5100,6,0.1333
5200,6,0.1333
5300,7,0.1556
5400,7,0.1556
5500,7,0.1556
5600,7,0.1556
5700,7,0.1556
5800,7,0.1556
5900,7,0.1556
6000,7,0.1556
6100,7,0.1556
6200,7,0.1556
6300,7,0.1556
6400,7,0.1556
6500,7,0.1556
6600,8,0.1778
6700,8,0.1778
6800,8,0.1778
6900,8,0.1778
7000,8,0.1778
7100,9,0.2000
7200,9,0.2000
7300,9,0.2000
7400,9,0.2000
7500,9,0.2000
7600,10,0.2222
7700,10,0.2222
7800,10,0.2222
7900,11,0.2444
8000,11,0.2444
8100,11,0.2444
8200,11,0.2444
8300,11,0.2444
8400,11,0.2444
8500,11,0.2444
8600,11,0.2444
8700,11,0.2444
8800,11,0.2444
8900,12,0.2667
9000,12,0.2667
9100,12,0.2667
9200,12,0.2667
9300,12,0.2667
9400,13,0.2889
9500,13,0.2889
9600,14,0.3111
9700,14,0.3111
9800,15,0.3333
9900,15,0.3333
10000,15,0.3333
