split_idx,day,pnl,n_trades,hold_skips,total_bars
0,20220103,753.8550,73,519,4630
0,20220104,-721.8000,70,456,4630
0,20220105,-4411.2300,127,24,4630
0,20220106,1793.0600,181,157,4630
0,20220107,-708.3050,107,268,4630
0,20220110,3946.6800,168,39,4630
0,20220111,3561.2500,125,530,4630
0,20220112,146.6750,105,181,4630
0,20220113,-1796.5150,161,146,4630
0,20220114,1132.0400,204,67,4630
0,20220118,-457.0700,168,99,4630
0,20220119,-3487.8650,151,100,4630
0,20220120,-5279.4200,183,28,4630
0,20220121,-5389.0850,404,11,4630
0,20220124,18175.4700,672,7,4630
0,20220125,7888.3100,456,4,4630
0,20220126,-13267.9750,515,6,4630
0,20220127,-7071.7600,449,40,4630
0,20220128,13876.0200,352,18,4630
0,20220131,3640.6650,129,38,4630
0,20220201,2549.3900,189,20,4630
0,20220202,1109.1600,166,34,4630
0,20220203,-465.0750,180,52,4630
0,20220204,495.4250,230,67,4630
0,20220207,-1057.2800,147,74,4630
0,20220208,2527.4800,123,63,4630
0,20220209,1067.5850,71,277,4630
0,20220210,-2438.8200,243,6,4630
0,20220211,-6827.4800,377,5,4630
0,20220214,2903.0200,302,1,4630
0,20220215,1603.7000,120,226,4630
0,20220216,1858.1850,131,84,4630
0,20220217,-1956.2400,126,111,4630
0,20220218,-2133.0550,257,1,4630
0,20220222,-1273.3100,294,5,4630
0,20220223,-6627.3700,263,43,4630
0,20220224,18276.7000,420,30,4630
0,20220225,10166.3300,258,3,4630
0,20220228,4134.2600,301,19,4630
0,20220301,-4407.2000,280,13,4630
0,20220302,5832.9150,229,12,4630
1,20220103,-142.3750,75,458,4630
1,20220104,56.3650,74,150,4630
1,20220105,-1434.9700,128,24,4630
1,20220106,1983.1100,186,29,4630
1,20220107,428.0750,120,66,4630
1,20220110,-700.1650,171,15,4630
1,20220111,1736.2800,128,4,4630
1,20220112,287.9550,108,49,4630
1,20220113,-275.8600,164,17,4630
1,20220114,592.1100,211,37,4630
1,20220118,-555.2250,165,3,4630
1,20220119,1967.1650,154,46,4630
1,20220120,313.0500,180,26,4630
1,20220121,594.6550,403,9,4630
1,20220124,5636.6800,668,16,4630
1,20220125,6042.0700,457,2,4630
1,20220126,-5557.4000,510,16,4630
1,20220127,2840.1250,450,12,4630
1,20220128,4945.3850,351,13,4630
1,20220131,-244.3150,131,32,4630
1,20220201,1657.5250,190,4,4630
1,20220303,-98.2650,236,28,4630
1,20220304,1442.4400,244,9,4630
1,20220307,-1496.8150,256,28,4630
1,20220308,-3007.9000,460,19,4630
1,20220309,2435.7000,195,8,4630
1,20220310,-988.8050,182,45,4630
1,20220311,799.9650,184,75,4630
1,20220314,-1389.6700,158,617,4630
1,20220315,430.7950,142,367,4630
1,20220316,5580.5350,241,390,4630
1,20220317,1796.6750,105,326,4630
1,20220318,350.7300,73,123,4630
1,20220321,1640.7850,141,624,4630
1,20220322,158.1600,66,363,4630
1,20220323,-89.7450,88,363,4630
1,20220324,453.7250,60,393,4630
1,20220325,791.0900,109,387,4630
1,20220328,170.7000,70,387,4630
1,20220329,300.1850,81,386,4630
1,20220330,537.5750,70,736,4630
2,20220103,332.6350,76,413,4630
2,20220104,-403.0000,75,138,4630
2,20220105,-2438.0850,129,12,4630
2,20220106,2060.6000,185,38,4630
2,20220107,-189.3750,125,45,4630
2,20220110,2560.4600,171,27,4630
2,20220111,3697.5700,132,30,4630
2,20220112,-172.0450,108,49,4630
2,20220113,-542.1000,165,23,4630
2,20220114,403.9750,210,39,4630
2,20220118,-842.1000,165,25,4630
2,20220119,-2594.0850,154,46,4630
2,20220120,-1175.6900,181,18,4630
2,20220121,-3026.5950,403,9,4630
2,20220124,15655.4300,668,16,4630
2,20220125,8474.5700,457,2,4630
2,20220126,-11522.3900,511,13,4630
2,20220127,-6867.3750,450,12,4630
2,20220128,12344.1350,351,13,4630
2,20220131,2818.1850,131,32,4630
2,20220201,2278.7650,189,2,4630
2,20220331,-919.1100,89,563,4630
2,20220401,-284.6550,97,202,4630
2,20220404,530.9550,33,447,4630
2,20220405,-1144.7950,83,405,4630
2,20220406,1702.9200,167,656,4630
2,20220407,1493.0250,115,434,4630
2,20220408,129.0250,90,562,4630
2,20220411,-346.8000,70,670,4630
2,20220412,-1920.0100,124,616,4630
2,20220413,683.6950,57,421,4630
2,20220414,-933.4850,89,549,4630
2,20220418,-2076.4700,103,414,4630
2,20220419,40.8000,80,171,4630
2,20220420,-195.9750,90,428,4630
2,20220421,-5529.5000,175,148,4630
2,20220422,-3677.7750,160,498,4630
2,20220425,5295.0600,256,655,4630
2,20220426,-3714.0300,222,94,4630
2,20220427,2184.1900,294,183,4630
2,20220428,5925.9900,224,46,4630
3,20220103,41.3750,75,495,4630
3,20220104,-137.3750,75,135,4630
3,20220105,-899.3450,128,20,4630
3,20220106,959.3800,188,43,4630
3,20220107,66.8750,125,35,4630
3,20220110,674.2200,172,14,4630
3,20220111,971.2800,128,4,4630
3,20220112,233.6000,110,44,4630
3,20220113,-699.6100,164,25,4630
3,20220114,32.1000,210,46,4630
3,20220118,-1123.9650,166,26,4630
3,20220119,-684.0850,154,47,4630
3,20220120,611.8100,181,18,4630
3,20220121,339.6550,403,9,4630
3,20220124,10192.9300,668,16,4630
3,20220125,-909.1800,457,2,4630
3,20220126,-2722.3900,511,13,4630
3,20220127,-3868.6250,450,12,4630
3,20220128,4605.3850,351,13,4630
3,20220131,1854.4350,131,16,4630
3,20220201,886.2650,189,2,4630
3,20220429,-427.9600,204,197,4630
3,20220502,-6685.8650,351,262,4630
3,20220503,207.9450,232,335,4630
3,20220504,-14348.3000,295,457,4630
3,20220505,2648.3350,396,316,4630
3,20220506,2277.6100,386,273,4630
3,20220509,819.8450,297,503,4630
3,20220510,-680.4750,390,265,4630
3,20220511,3044.4600,321,409,4630
3,20220512,-1219.4550,367,224,4630
3,20220513,-3115.7700,173,146,4630
3,20220516,1850.6900,194,620,4630
3,20220517,-1475.3650,151,628,4630
3,20220518,-1631.6800,207,401,4630
3,20220519,4695.7100,321,418,4630
3,20220520,-2158.4000,285,150,4630
3,20220523,2639.2800,178,241,4630
3,20220524,3874.3250,245,234,4630
3,20220525,-2219.5250,235,223,4630
3,20220526,240.1450,77,310,4630
4,20220103,-51.1250,75,511,4630
4,20220104,728.2400,74,195,4630
4,20220105,-538.0850,129,12,4630
4,20220106,1210.5900,184,86,4630
4,20220107,-236.9250,120,71,4630
4,20220110,-495.8200,168,39,4630
4,20220111,-1191.2100,129,8,4630
4,20220112,10.4450,107,59,4630
4,20220113,-8.3800,162,46,4630
4,20220114,529.6000,210,38,4630
4,20220118,-373.9650,166,35,4630
4,20220119,1293.4050,153,67,4630
4,20220120,2385.5600,181,18,4630
4,20220121,2305.9050,403,9,4630
4,20220124,10877.9300,668,16,4630
4,20220125,5915.8200,457,2,4630
4,20220126,-8834.8900,511,13,4630
4,20220127,533.8750,450,12,4630
4,20220128,-5437.1150,351,13,4630
4,20220131,-729.3150,131,32,4630
4,20220201,-601.2350,189,2,4630
4,20220527,-201.9300,57,373,4630
4,20220531,1541.0950,172,238,4630
4,20220601,997.2950,167,302,4630
4,20220602,1570.3550,98,626,4630
4,20220603,-152.9850,139,604,4630
4,20220606,828.7800,128,259,4630
4,20220607,-17.3050,82,446,4630
4,20220608,1586.2100,121,561,4630
4,20220609,-1935.4650,141,443,4630
4,20220610,1607.4950,187,243,4630
4,20220613,-1099.0650,281,251,4630
4,20220614,1275.2050,208,251,4630
4,20220615,4195.9700,347,498,4630
4,20220616,-52.1350,224,155,4630
4,20220617,548.7000,245,208,4630
4,20220621,-143.6950,68,420,4630
4,20220622,-771.8750,125,370,4630
4,20220623,699.9800,123,344,4630
4,20220624,444.2300,48,592,4630
4,20220627,434.8700,112,584,4630
5,20220103,-304.8350,79,579,4630
5,20220104,203.2500,75,140,4630
5,20220105,-1312.4600,129,14,4630
5,20220106,788.1100,186,54,4630
5,20220107,1068.1050,123,65,4630
5,20220110,1205.4400,169,45,4630
5,20220111,1727.5400,129,176,4630
5,20220112,504.8300,108,54,4630
5,20220113,-179.6300,162,46,4630
5,20220114,967.1000,210,38,4630
5,20220118,-433.9750,165,41,4630
5,20220119,858.4150,154,60,4630
5,20220120,-220.6900,181,18,4630
