split_idx,test_groups,max_drawdown,max_consecutive_losses,drawdown_duration_days,n_trades,expectancy,trades_per_day_mean,win_rate
0,"(0, 1)",26334.15,22,9,9507,3.9614,231.88,0.4985
1,"(0, 2)",11941.41,17,7,8185,3.6638,199.63,0.5123
2,"(0, 3)",22432.94,17,13,7654,2.3643,186.68,0.4916
3,"(0, 4)",26460.76,16,26,10341,-0.1199,252.22,0.4949
4,"(0, 5)",16439.44,15,25,8091,2.3049,197.34,0.5075
5,"(0, 6)",21195.30,17,25,7102,3.2219,173.22,0.5128
6,"(0, 7)",15589.98,18,25,6469,1.7694,157.78,0.5035
7,"(0, 8)",15779.48,15,25,7550,-0.6738,184.15,0.5077
8,"(0, 9)",20207.79,21,25,7891,1.2072,192.46,0.5080
9,"(1, 2)",9348.53,20,9,7688,5.3802,192.20,0.5068
10,"(1, 3)",16524.15,20,14,7148,2.3043,178.70,0.4846
11,"(1, 4)",18245.90,20,11,9823,7.1255,245.57,0.5021
12,"(1, 5)",8867.52,20,10,7589,5.0320,189.72,0.5060
13,"(1, 6)",13307.08,20,9,6592,5.8395,164.80,0.5147
14,"(1, 7)",11599.56,20,9,5976,5.1882,149.40,0.5105
15,"(1, 8)",17224.92,22,8,7061,2.3063,176.53,0.5013
16,"(1, 9)",9595.02,20,11,7391,4.8231,184.78,0.5055
17,"(2, 3)",13590.39,20,13,5785,1.0632,144.62,0.4906
18,"(2, 4)",47893.73,31,32,8460,-2.2808,211.50,0.4903
19,"(2, 5)",6590.22,14,8,6231,2.7903,155.78,0.4964
20,"(2, 6)",4820.46,13,15,5248,3.2044,131.20,0.4987
21,"(2, 7)",22671.07,20,32,4617,-0.1482,115.42,0.4797
22,"(2, 8)",9726.46,15,5,5697,2.2851,142.43,0.5096
23,"(2, 9)",7030.39,14,13,6033,4.5009,150.82,0.5006
24,"(3, 4)",18187.76,19,17,7933,4.3072,198.32,0.4824
25,"(3, 5)",12816.39,20,25,5704,1.6015,142.60,0.4872
26,"(3, 6)",12916.70,18,18,4695,1.5704,117.38,0.4935
27,"(3, 7)",7592.30,19,14,4076,1.2750,101.90,0.4885
28,"(3, 8)",14593.87,17,23,5164,0.3894,129.10,0.4983
29,"(3, 9)",7822.35,18,28,5489,2.3705,137.22,0.4926
30,"(4, 5)",10860.71,16,9,8374,3.8032,209.35,0.4971
31,"(4, 6)",10675.70,15,11,7385,5.5731,184.62,0.4974
32,"(4, 7)",46888.34,31,39,6760,-5.7097,169.00,0.4793
33,"(4, 8)",12784.18,18,30,7849,0.9237,196.22,0.4945
34,"(4, 9)",16316.70,20,35,8166,0.0118,204.15,0.4902
35,"(5, 6)",3494.22,16,10,5153,3.0911,128.82,0.4984
36,"(5, 7)",4721.97,16,10,4527,3.9520,113.17,0.4981
37,"(5, 8)",12396.16,16,5,5619,1.7593,140.47,0.4987
38,"(5, 9)",4620.50,16,4,5945,5.0280,148.62,0.5051
39,"(6, 7)",4359.56,16,10,3531,2.6477,88.28,0.5013
40,"(6, 8)",16515.23,26,4,4609,2.1384,115.22,0.5086
41,"(6, 9)",3327.77,18,4,4942,4.2163,123.55,0.5012
42,"(7, 8)",18194.25,26,15,3985,-1.0265,99.62,0.4999
43,"(7, 9)",5248.79,16,10,4322,5.7365,108.05,0.5164
44,"(8, 9)",16150.25,16,21,5404,1.7646,135.10,0.5056
