metric,baseline,cutoff_270,message_rate_p25,stacked_message_rate_p25
trades_per_day,162.2142,116.7724,158.9276,114.6575
exp_per_trade,2.5008,3.0161,2.5080,3.0992
daily_pnl,412.7683,336.7719,404.6961,338.4119
dd_worst,47893.7300,33983.5850,47433.7900,32829.9350
dd_median,12916.7050,8686.8450,12836.7750,8683.5350
min_acct_all,48000,34000,47500,33000
min_acct_95,26500,25500,26500,25500
win_rate,0.4993,0.5027,0.4991,0.5030
timeout_fraction,0.4133,0.4130,0.4120,0.4123
gate_skip_pct,0.0000,0.0000,0.1083,0.0339
hold_skip_pct,0.6609,0.3439,0.6179,0.3364
calmar,2.1632,2.4874,2.1415,2.5873
sharpe,2.1010,2.2043,2.0766,2.2180
annual_pnl,103604.8448,84529.7573,101578.7280,84941.3942
