config,feature,gate_level,cutoff,trades_per_day,exp_per_trade,daily_pnl,dd_worst,dd_median,min_acct_all,min_acct_95,win_rate,gate_skip_pct,hold_skip_pct,timeout_fraction,calmar,sharpe,annual_pnl
baseline,,none,390,162.21,2.5008,412.77,47893.73,12916.70,48000,26500,0.4993,0.0000,0.6609,0.4133,2.1632,2.1010,103604.84
cutoff_270,,none,270,116.77,3.0161,336.77,33983.58,8686.84,34000,25500,0.5027,0.0000,0.3439,0.4130,2.4874,2.2043,84529.76
trade_count_p25,trade_count,p25,390,160.83,2.4157,397.53,47051.03,13117.06,47500,26500,0.4989,0.0569,0.6425,0.4123,2.1207,2.0419,99780.93
trade_count_p50,trade_count,p50,390,155.78,2.2985,367.88,48335.86,13764.54,48500,27000,0.4996,0.1871,0.5690,0.4125,1.9103,1.9387,92336.77
trade_count_p75,trade_count,p75,390,145.71,2.2299,337.30,42278.77,12921.66,42500,28000,0.5003,0.4121,0.4314,0.4121,2.0025,1.8064,84662.56
message_rate_p25,message_rate,p25,390,158.93,2.5080,404.70,47433.79,12836.77,47500,26500,0.4991,0.1083,0.6179,0.4120,2.1415,2.0766,101578.73
message_rate_p50,message_rate,p50,390,151.96,2.3014,360.67,47072.55,13180.44,47500,28000,0.4990,0.3041,0.5043,0.4099,1.9232,1.9027,90528.44
message_rate_p75,message_rate,p75,390,133.25,2.3152,319.59,44889.23,12396.15,45000,27000,0.5005,0.6013,0.3054,0.4076,1.7870,1.7675,80216.84
volatility_50_p25,volatility_50,p25,390,157.25,2.5023,402.59,47603.69,12986.65,48000,26500,0.4995,0.3487,0.4471,0.4105,2.1227,2.0527,101050.48
volatility_50_p50,volatility_50,p50,390,137.16,2.6679,380.65,47137.48,12196.74,47500,26500,0.5014,0.6583,0.2563,0.4060,2.0269,1.9614,95542.12
volatility_50_p75,volatility_50,p75,390,96.87,2.9748,299.34,45018.62,11941.40,45500,25000,0.5028,0.7950,0.1708,0.3957,1.6690,1.6258,75135.23
trade_count_20_p25,trade_count_20,p25,390,153.48,2.4227,381.69,47299.71,12795.53,47500,27000,0.4999,0.2435,0.5411,0.4117,2.0255,2.0101,95805.19
trade_count_20_p50,trade_count_20,p50,390,139.14,2.2450,327.70,46732.18,12944.63,47000,28500,0.5009,0.5475,0.3423,0.4119,1.7601,1.7605,82252.63
trade_count_20_p75,trade_count_20,p75,390,102.14,2.0521,246.65,39470.19,10691.69,39500,25000,0.4982,0.7718,0.1869,0.4023,1.5685,1.4312,61908.37
message_rate_20_p25,message_rate_20,p25,390,152.28,2.4228,378.40,47035.21,12645.20,47500,27500,0.4994,0.3090,0.5015,0.4110,2.0193,1.9787,94978.22
message_rate_20_p50,message_rate_20,p50,390,132.46,2.2609,319.46,43754.70,12396.15,44000,28000,0.4996,0.6264,0.2863,0.4079,1.8326,1.7281,80184.87
message_rate_20_p75,message_rate_20,p75,390,93.90,1.9230,221.81,40111.44,10759.01,40500,27500,0.4959,0.7911,0.1740,0.4015,1.3880,1.3179,55675.21
stacked_message_rate_p25,message_rate,p25,270,114.66,3.0992,338.41,32829.94,8683.54,33000,25500,0.5030,0.0339,0.3364,0.4123,2.5873,2.2180,84941.39
